Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
696,1.2658045977011494,156.11237230419977,119,66,273,542,0.014611097649624424,1627,0.2109280348921735,24039,0.21279379694693482,15604
Text,Sentiment,main reaction amount,reaction amount,reactions,author
Sie wollen nur heiraten damit sie Kinder haben können. Die Leidtragenden sind dann die Kinder mit ihren 2 Papis oder 2 Mamis. In der Schule werden solche Kinder vielmals gemobbt. Kinder können grausam zueinander sein.,['neutral'],GENAU,1 Leserin),1
@An Kinder denken Und diese Grausamkeit lernen die Kinder eben genau durch Eltern mit falschen Einstellungen wie Sie! Ich bin froh wurde ich nicht von Ihnen grossgezogen. Lieber 2 MännerFrauen als jemanden mit so einer Einstellung...,['neutral'],LOVE IT,59,94
@Fangbeidirselbstan Bin froh dass ich zwei anständige Kinder grossgezogen habe die beide haben einen sehr anspruchsvollen und guten Job und sie leben beide mir Partner. Habe also nicht alle falsch gemacht. Und sie rauchen nicht und nehmen keine Drogen.,['positive'],SO NICHT,22,50
@An Kinder denken ...wurden Scheidungskinder auch gemobbt und gehänselt. Sollen wir jetzt deswegen die Scheidung verbieten?,['neutral'],GENAU,53,69
@An Kinder wenn jeder welcher diese Bedenken jetzt im Wahlkampf äussert sich die Zeit nimmt und den eigenen Kindern beibringt dass man Leute aufgrund der Sexualität oder der Sexualität der Eltern nicht mobbt dann sollte das Problem relativ klein sein.,['neutral'],SMART,31,55
@An Kinder denken Genau und warum werden die Kinder gemobbt?? Weil sie es von ihren Eltern nichz anders beigebracht bekommen. Tragisch so etwas. Leben und leben lassen.,['neutral'],LOVE IT,33,51
@An Kinder denken Ja. Dann denk an die gemobbten Kinder und erzieh deine dass sie offen sind und nicht mobben! Du unterschätzt aber massiv empathische Fähigkeiten bei Kindern! Vielleicht bist du aber auch zu alt um das zu verstehen.,['neutral'],LOVE IT,34,64
Ich verstehe nicht warum so viele etwas gegen Liebe und liebende Eltern haben. Echt schade. Können wir die Menschen nicht endlich so Glücklich sein lassen wie sie sind?,['negative'],QUATSCH,1 Leserin),1
@Liebe ist für alle da bin ich voll deiner Meinung. Wäre mehr als überfällig.,['negative'],LOVE IT,12,23
Aber nur wenn sie niemals Kinder haben dürfen denn das ginge dann definitiv zu weit. Warum muss ich bestimmt hier nicht erklären.,['negative'],GENAU,1 Leserin),2
@Nur wenn es nicht ausartet Doch das musst Du definitiv erklären. Oder ist das Kind im Waisenhaus besser aufgehoben als bei zwei Menschen die es lieben und dabei das gleiche Geschlecht haben?,['neutral'],LOVE IT,26,38
@Nur wenn es nicht ausartet Doch erklär ich bin gespannt! Mir kommt nämlich keine plausible Erklärung in den Sinn..,['neutral'],LOVE IT,16,25
@Anniee Dann überleg mal ein bisschen.,['neutral'],SO NICHT,17,25
@Anniee Nachdenken nur ganz kurz dann kommst auch dir in den Sinn.,['neutral'],SO NICHT,12,18
@OG Martial Das arme Kind wird irgendwann nur gemobbt werden. Aber das überlegt ihr euch nicht gell? Es geht nur um euch!,['negative'],QUATSCH,35,60
@Bravo toll überlegt Ich überlege mir das sehr wohl und die Antwort liegt auf der Hand Kindern beibringen dass das ganz normal ist. Liegt halt an der Erziehung und ich weiss wie sehr die auf der Strecke bleibt wenn man nur an sich selbst denkt und Kinder als Statussymbol hat wie Sie.,['neutral'],LOVE IT,14,23
@OG Martial Was ist normal? Jeder sieht das in bisschen anders.,['negative'],UNNÖTIG,8,12
@Nur wenn es nicht ausartet Was für eine verstaubte Denkweise zum glück bin ich nicht von ihnen grossgezogen worden.,['neutral'],LOVE IT,16,30
@OG Martial Eventuell wäre es mal nötig in den Spiegel zu schauen.,['positive'],QUATSCH,10,16
@Erklär mir das Wort normal Zwei erwachsene Menschen die sich lieben ist normal. Einfach genug für Dich?,['neutral'],LOVE IT,21,29
@böse ist wer böses denkt Ich gehöre nicht auf die Seite die anderen Menschen gewisse Entscheidungen verbietet und Du?,['neutral'],LOVE IT,18,32
"@Nur wenn es nicht ausartet ""Ich habe Meinung xyz welche total abschätzig und veraltet ist. Wieso muss ich bestimmt hier nicht erklären"" wieso nicht? Keine schlauen Argumente oder was ist los? Es betrifft sie ja garnicht. Lassen sie diese Paare doch Kinder haben wie alle anderen auch.",['negative'],GENAU,38,57
@Stu. denkt komische Argumentation. Aber egal. Für das kommt ja die Abstimmung. ),['negative'],GENAU,7,14
@Erklär mir das Wort normal Normal ist was 80% als normal ansagen,['neutral'],UNNÖTIG,5,7
@Nur wenn es nicht ausartet Stu denkt! Sie sollten es damit auch einmal versuchen.,['neutral'],QUATSCH,6,6
"Alle Rechte und alle Pflichten für alle gleich. Solange jemand sich ""outen"" muss stimmt doch etwas nicht mit der Gesellschaft. Es geht doch jetzt wirklich niemanden was an welche geschlechtliche Präferenz jemand hat und schon gleich 2x mal nicht dass er deswegen vor dem Gesetz anders behandelt wird. Ich finde eher dass sich die Initianten des Referendums outen als überhebliche anmassende das Leben anderer bewertende Individuen meist dann auch noch unter dem Deckmantel von Religion und sogenannter Tradition. Da und nur da sehe ich Gefahr für unsere Freiheit für unsere ""Werte"" für unsere Zukunft.",['negative'],jetzt bewerten,0,0
@Damisi Die sehen möglicherweise irgendwelche Privilegien gefährdet und haben keinen Bock auf Vielfalt. Bei denen weiss man immerhin woran man ist. Ich bin persönlich völlig anderer Meinung und deswegen gibt es auch eine Abstimmung. Das ist soweit legitim wird für die SVP und EDU wohl aber nicht so gut rauskommen. Vielleicht ist es ganz gut diese Frage vor dem Volk zu klären und hoffe auf ein deutliches Resultat.,['negative'],LOVE IT,20,31
Es ist sehr gut dass das Volk darüber entscheiden kann. Ich denke der NR hat eine Vorlage entworfen die auch in konservativen Kreisen tragbar ist. Die Schweizer Bevölkerung ist mittlerweile auch liberaler als noch vor ein paar Jahrzehnten ich nehme an dass sogar einige Innerschweizer- und Ostschweizerkantone dafür stimmen aber im Endeffekt reicht das einfache Volksmehr und es wäre auch ein Präzedenzfall,['positive'],jetzt bewerten,0,0
An alle die dagegen sind Ich wünsche euch so viel Glücklich-sein und Geliebt-werden im Leben dass ihr aufhören könnt und wollt anderen Menschen vorschreiben zu wollen wen sie lieben und heiraten dürfen. Wenn ihr selbst nicht direkt betroffen seid würdet ihr von Nicht-Betroffenen Rat-SCHLÄGE über eure Lebens-Routinen entgegen nehmen? Das ist übrigens kein Angriff ihr müsst nicht gleich die Verteidigungsstellung aufwärmen nur ein bisschen ehrliche verletzliche Selbstreflexion hier. Ja neue Dinge können angsteinflössend sein besonders wenn man mit konservativer Schraubstock-Haltung bereits auf Gegenwehr bläst nur weil das immer so in der währschaften Schweiz war hä. Atmet durch und lasst Menschen leben aufblühen lieben. Sie nehmen euch nichts weg.,['neutral'],jetzt bewerten,0,0
@Kahlani - Wie sieht es denn bei zwei Papis aus wenn die Kinder haben? Kann dann einer von beiden Mami-Papi-Urlaub beziehen? Oder bei zwei Mamis? Zweimal 16 Wochen?,['neutral'],UNNÖTIG,3,5
Wieder einmal mehr darf der Fortschritt und gesunde Menschenverstand gegen verbitterte Menschen aus dem letzten Jahrhundert und die Bibel antreten.,['neutral'],jetzt bewerten,0,0
@OG Martial - Das Abstimmungsresultat wird Klarheit bringen. Wie in einer Demokratie üblich. Wollen Sie ein anderes politisches System gar?,['neutral'],GENAU,12,20
@Ein überzeugter Demokrat Nö mir passt Demokratie Intoleranz ist das Einzige was mich stört.,['positive'],GENAU,16,26
@OG Martial - Also wird das an der Urne entschieden! - Polemik hin oder her.,['neutral'],GENAU,8,13
@OG Martial Die Untoleranten verlangen immer am Meisten Toleranz. Auch deshalb ein NEIN von mir.,['negative'],GENAU,20,43
@OG Martial Wie wahr. Als Vorurteil einfach eine Religion oder Tradition erwähnen auch wenn diese schon lange in Frage gestellt werden. Keine eigenen Erfahrungen einbringen.,['neutral'],QUATSCH,7,11
@Ein überzeugter Demokrat Habe nie was Anderes behauptet aber ok.,['positive'],QUATSCH,5,9
