Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
1552,1.3756443298969072,124.33395784543326,91,146,789,1198,0.0334839371344624,2360,0.2252958948914821,20502,0.10000831554730161,13186
Text,Sentiment,main reaction amount,reaction amount,reactions,author
Erst alle Einwohner gut ausbilden. Wenn die Wirthschaft noch weitere ausgebildete Arbeitskräfte braucht kann die auch meistens von Ihre Länder aus Fernarbeiten. So wird die Umwelt verschönt und Personen dar bleiben und steuer bezahlen wo sie schon zuhause sind.,['neutral'],jetzt bewerten,0,0
"""In die Schweiz kommt nur wer einen Job hat"" genau hier gäbe es noch einiges Verbesserungspotenzial (Lücken). Und es bräuchte ein neues Verantwortungsbewusstsein für unsere Schweiz.",['positive'],jetzt bewerten,0,0
@Hingeschaut Jawohl die Räte sollten die Deutschen Zeitungen mit all den Stellenausschreibungen für die Schweiz ansehen mit den Schweizer Zeitungen vergleichen und dann sagen die Schweizer sind nicht benachteiligt.,['neutral'],GENAU,37,38
Liebe Schweizerinnen und Schweizer etwas mehr Mut und Selbstvertrauen. Bei einem Ja müssen die Damen und Herren BR mal arbeiten und uns in Brüssel vertreten und mal hart verhandeln. Ich verstehe nicht weshalb wir Brüssel immer nachgeben sollten weil es so am einfachsten ist. Ich bin jedenfalls bereit mit jeder Konsequenz und mein Ja ist sicher. 💪,['neutral'],jetzt bewerten,0,0
Sehr geehrter Herr Cassis. Ich wollte grad FDP wählen. Nun habe ich mir das anders überlegt. Und das bleibt auch so.,['negative'],jetzt bewerten,0,0
Also bei mir läuft es wie folgt. Raucherpause wird nachgearbeitet es gibt eine Mittagspause keine Pause um 9. Ich tracke die MA im Aussendienstdamit sie nicht 8 Stunden aufschreiben reala ber nur 3-4 arbeiten. Dafür Lohn ~ 20% über Branchendurchschnitt.,['negative'],jetzt bewerten,0,0
@Arbeitgeber Dass Raucherpausen nachgearbeitet werden müssen ist klar. Um 9 eine Viertelstunde ist gemäss OR Pflicht. Bezahlte Zeit. Ich komme gern zu Ihnen arbeiten. CH mit 43 Jahren Erfahrung. 3 Sprachen. Gute EDV-Kenntnisse. Techniker. In Frührente gezwungen. Bin unter dem Existenzminimum. 4 Jahre kann ich noch Arbeiten. Melden sie sich bitte danke.,['negative'],LOVE IT,9,15
Es wird eng für die FDP und den Helfersparteien. Selber Schuld.,['neutral'],jetzt bewerten,0,0
Australien macht es vor und denen geht es gut.,['positive'],jetzt bewerten,0,0
Ich hoffe auf ein JA. Wenn Nein dann alles Angsthasen.,['negative'],jetzt bewerten,0,0
zwischen Cassis und Auto Chassis mit dem Chassis fährt es sich besser! ),['negative'],jetzt bewerten,0,0
Was haben meine Kinder wohl für eine Zukunft in einer 10Mio Schweiz. Der Kuchen wird nicht grösser es sitzen einfach mehr Esser drum rum.,['negative'],jetzt bewerten,0,0
Wir haben genug eigene Leute die arbeiten wollen.,['positive'],jetzt bewerten,0,0
@Plankton Alle rennen der Nachtarbeit Samstag und Sonntag Diensten nach.,['neutral'],GENAU,95,142
@Genau Antwort Danke.,['positive'],GENAU,37,68
@Plankton aber klar doch. Alle reissen sich um Arbeit auf dem Bau oder Schichtbetrieb. Deshalb sind auch alle Lehrstellen in den Handwerkerbetrieben ausgebucht. Tja studieren ist in. Man will ja schliesslich nur einen Job bei dem viel verdient wird. Alles andere - WER macht es denn?? Auch darüber mal nachdenken.,['neutral'],QUATSCH,22,30
Es wird jung! Enge Blondinen finden keine Stadtwohnungen mehr. Wer kann ihnen helfen?,['neutral'],jetzt bewerten,0,0
Schweizer Arbeitsplätze den Schweizern!,['neutral'],jetzt bewerten,0,0
Aus der Schweiz wird man rausgeschmissen obwohl man einen Job hat fast 30 Jahre dort gearbeitet und sich nie was zu schulden kommen liess...und dass nur weil man sich vom Mann getrennt hat. Er durfte bleiben obwohl ich länger in der Schweiz gearbeitet habe.,['negative'],jetzt bewerten,0,0
Wer glaubt heutzutage noch Politikern?,['neutral'],jetzt bewerten,0,0
Politiker biegen immer alles dahin wo sie wollen. Der Chassis muss ja mit CHF 280000 Rente nie bedenken um sei. Auskommen haben. 15000 kommen etwa hies es. Gekommen sind 70000 plus pro Jahr! Ein Ja ist kein Untergang,['neutral'],jetzt bewerten,0,0
Es komme nur wer einen Job hat ja wenns nur für zwei Tage ist den Rest bezahlt der Steuerzahler bis es geht nicht mehr. Somit JA zur BGI.,['negative'],jetzt bewerten,0,0
*Denn sie sind gekommen um zu bleiben* Herr Cassis - kennen sie den?,['neutral'],jetzt bewerten,0,0
hab heute den bentley bentayga entdeckt! den will ich!,['neutral'],jetzt bewerten,0,0
